16731,27975,16410,15729,16205,15960,15727,15950,15722,15979,15647,15823,15529,15829,15631,16017,15662,15844,15627,15858,15908,15619,15852,15579,16192,15565,16039,15534,16036,15631,15985,12152,15698,15690,15717,15679,15706,15629,15564,15619,15638,15632,15684,15700,15631,15653,15651,15660,15600,15673,15733,15612,15659,15694,15676,15713,15703,15744,15730,15677,15724,15756,15703,15664,0,24
16734,28637,16415,15721,16218,15946,15679,15933,15698,15983,15613,15835,15508,15837,15580,16033,15627,15842,15589,15864,15884,15607,15865,15582,16194,15537,16034,15502,16021,15611,15972,12145,15698,15708,15721,15685,15703,15642,15577,15622,15641,15642,15682,15689,15621,15645,15638,15677,15608,15692,15731,15616,15643,15709,15681,15721,15696,15747,15740,15666,15743,15752,15699,15663,0,115
16757,28617,16415,15731,16245,15966,15723,15954,15723,15986,15662,15859,15549,15875,15621,16009,15669,15850,15659,15887,15930,15651,15893,15594,16214,15583,16041,15535,16054,15648,15966,12146,15716,15725,15726,15688,15687,15630,15604,15627,15662,15638,15695,15681,15643,15669,15668,15653,15625,15685,15734,15626,15652,15735,15692,15734,15690,15765,15728,15683,15726,15758,15708,15694,0,52
16791,27657,16416,15744,16233,15946,15727,15983,15740,16004,15656,15857,15543,15877,15619,16031,15674,15874,15659,15907,15907,15694,15865,15623,16218,15583,16035,15555,16034,15667,15990,12143,15729,15726,15721,15732,15706,15642,15625,15639,15669,15643,15728,15695,15643,15645,15676,15655,15613,15698,15734,15635,15650,15744,15706,15746,15704,15769,15736,15691,15719,15772,15716,15699,0,195
16779,25813,16425,15769,16223,15979,15757,15967,15728,16019,15687,15860,15569,15869,15656,16040,15691,15856,15671,15890,15904,15665,15889,15644,16217,15604,16051,15575,16064,15663,15981,12145,15732,15752,15715,15726,15688,15648,15618,15643,15688,15638,15724,15694,15650,15649,15663,15647,15633,15708,15738,15648,15645,15751,15693,15754,15711,15772,15742,15696,15722,15774,15719,15711,0,130
16777,23301,16428,15733,16229,15988,15719,15963,15726,16000,15663,15849,15542,15842,15623,16028,15681,15852,15642,15897,15933,15642,15894,15598,16209,15564,16037,15542,16032,15656,15959,12154,15718,15744,15703,15712,15695,15648,15620,15644,15668,15640,15716,15703,15631,15644,15683,15654,15620,15694,15730,15630,15636,15725,15707,15764,15695,15780,15724,15694,15734,15780,15696,15710,0,220
16787,20557,16400,15738,16210,15964,15734,15951,15730,16002,15647,15848,15550,15873,15638,16043,15693,15872,15671,15889,15877,15645,15899,15615,16212,15577,16053,15566,16041,15690,15965,12151,15717,15765,15710,15707,15692,15650,15610,15644,15684,15656,15717,15692,15651,15656,15670,15652,15609,15687,15732,15644,15649,15744,15676,15741,15688,15771,15720,15687,15730,15765,15701,15705,0,64
16770,18295,16413,15720,16227,15980,15721,15946,15721,15986,15668,15857,15580,15866,15630,16023,15672,15878,15665,15879,15916,15664,15863,15636,16217,15593,16043,15546,16047,15670,15986,12152,15714,15738,15717,15707,15694,15637,15606,15648,15666,15639,15713,15691,15644,15643,15665,15648,15624,15703,15719,15645,15621,15737,15689,15734,15697,15769,15748,15708,15728,15774,15723,15707,0,44
16792,16999,16409,15733,16227,15980,15731,15964,15720,15986,15667,15852,15558,15861,15625,16034,15669,15860,15662,15880,15925,15669,15890,15629,16202,15602,16037,15557,16043,15676,15970,12141,15711,15743,15725,15719,15695,15633,15608,15643,15667,15654,15707,15701,15620,15668,15683,15669,15629,15685,15737,15639,15652,15734,15684,15741,15709,15763,15754,15689,15743,15760,15723,15706,0,104
16806,16725,16411,15776,16249,15984,15743,15982,15746,15991,15688,15868,15571,15862,15651,16036,15704,15875,15664,15891,15921,15678,15894,15641,16216,15607,16059,15573,16046,15711,15981,12137,15727,15753,15717,15727,15715,15647,15615,15645,15682,15659,15736,15709,15650,15636,15672,15670,15641,15696,15723,15639,15654,15741,15684,15759,15709,15775,15738,15701,15747,15783,15707,15705,0,136
16770,17093,16422,15726,16214,15970,15714,15948,15720,15985,15657,15833,15561,15842,15622,16028,15671,15852,15620,15892,15917,15655,15889,15595,16218,15566,16064,15551,16024,15662,15978,12140,15710,15720,15717,15689,15699,15634,15596,15629,15663,15647,15711,15697,15629,15647,15665,15660,15617,15702,15728,15617,15629,15732,15675,15728,15691,15742,15732,15689,15718,15760,15716,15715,0,128
16740,17853,16411,15738,16218,15945,15711,15940,15721,15978,15684,15841,15535,15851,15626,16027,15669,15837,15616,15871,15907,15651,15855,15601,16212,15581,16014,15532,16051,15658,15971,12143,15717,15708,15701,15674,15687,15639,15593,15630,15647,15646,15695,15691,15634,15640,15647,15669,15584,15687,15729,15615,15647,15721,15688,15740,15692,15741,15719,15662,15735,15755,15708,15676,0,142
16717,18966,16416,15707,16204,15952,15689,15937,15695,15983,15641,15832,15506,15848,15597,16001,15652,15842,15602,15874,15900,15619,15868,15560,16227,15550,16026,15522,16008,15600,15967,12135,15701,15703,15722,15680,15686,15643,15569,15632,15636,15638,15679,15701,15623,15645,15650,15646,15584,15700,15724,15620,15637,15699,15686,15715,15689,15740,15740,15669,15722,15744,15697,15672,0,86
16725,20573,16408,15703,16227,15959,15702,15958,15675,15966,15628,15821,15526,15815,15591,15989,15648,15831,15607,15860,15904,15621,15850,15571,16219,15545,16040,15534,16021,15616,15970,12144,15706,15701,15696,15679,15706,15621,15569,15632,15650,15639,15667,15699,15603,15644,15646,15657,15598,15692,15740,15606,15634,15704,15677,15712,15698,15747,15727,15670,15729,15759,15706,15660,0,74
16730,22456,16385,15708,16227,15942,15715,15960,15727,15992,15672,15833,15541,15849,15604,16005,15672,15836,15635,15859,15926,15607,15866,15610,16210,15557,16030,15551,16047,15620,15981,12144,15699,15705,15718,15689,15691,15640,15581,15633,15642,15631,15681,15689,15624,15649,15649,15644,15586,15679,15718,15616,15644,15708,15680,15710,15693,15733,15734,15661,15719,15735,15701,15681,0,176
16735,24556,16413,15745,16205,15968,15714,15944,15715,15977,15645,15837,15537,15845,15607,16011,15655,15830,15629,15872,15905,15648,15875,15603,16190,15572,16030,15523,16042,15635,15953,12146,15713,15708,15702,15679,15684,15623,15581,15622,15653,15624,15680,15671,15600,15639,15653,15657,15604,15681,15726,15621,15633,15685,15685,15708,15679,15730,15732,15652,15731,15739,15706,15658,0,85
16733,26500,16420,15730,16218,15930,15693,15931,15694,15966,15669,15832,15519,15825,15610,16012,15657,15841,15630,15875,15917,15637,15881,15598,16190,15556,16049,15523,16035,15629,15952,12141,15703,15707,15700,15682,15692,15642,15591,15630,15651,15631,15680,15683,15630,15637,15650,15655,15600,15681,15717,15626,15643,15710,15676,15722,15702,15717,15750,15680,15731,15749,15722,15673,0,232
16727,28096,16416,15719,16239,15937,15718,15949,15711,15977,15676,15846,15521,15829,15597,16012,15656,15834,15646,15859,15895,15639,15860,15623,16194,15579,16035,15522,16037,15632,15957,12147,15712,15712,15710,15677,15693,15628,15583,15643,15638,15621,15669,15688,15610,15652,15647,15651,15607,15682,15717,15614,15633,15704,15683,15751,15689,15761,15736,15677,15736,15745,15710,15676,0,204
16707,28700,16400,15712,16220,15933,15697,15949,15681,15983,15639,15839,15502,15835,15568,16005,15656,15837,15606,15867,15918,15646,15876,15593,16200,15555,16032,15522,16031,15611,15969,12143,15717,15706,15713,15683,15690,15638,15570,15623,15661,15626,15659,15684,15602,15640,15627,15651,15594,15688,15729,15613,15629,15719,15690,15720,15682,15723,15728,15651,15724,15740,15702,15672,0,87
16743,28629,16407,15780,16203,15941,15735,15959,15733,15987,15699,15831,15574,15872,15669,16019,15712,15847,15670,15889,15918,15697,15861,15620,16193,15601,16035,15585,16028,15692,15978,12151,15721,15729,15719,15697,15692,15647,15599,15635,15660,15651,15706,15693,15634,15649,15662,15657,15613,15682,15719,15640,15654,15729,15675,15728,15685,15742,15731,15673,15723,15760,15719,15690,0,131
